document_id,variant_id,item_order,description,quantity,unit_price,line_total,raw_text,confidence
INV-0016,INV-0016-image_jpg,5,Desk organizer,3.0,34.02,102.06,Desk organizer | 3 | $34.02 | $102.06,0.95
INV-0018,INV-0018-image_jpg,1,Desk organizer,3.0,17.29,51.87,Desk organizer | 3 | $17.29 | $51.87,0.95
INV-0018,INV-0018-image_jpg,2,Archivefolders,1.0,16.3,16.3,Archivefolders | 1 | $16.30 | $16.30,0.95
INV-0019,INV-0019-image_jpg,1,Granola cup,3.0,9.57,28.71,Granola cup | 3 | $9.57 | $28.71,0.95
INV-0019,INV-0019-image_jpg,2,Herbaltea,4.0,55.52,222.08,Herbaltea | 4 | $55.52 | $222.08,0.95
INV-0019,INV-0019-image_jpg,3,Cable clips,2.0,21.91,43.82,Cable clips | 2 | $21.91 | $43.82,0.95
INV-0019,INV-0019-image_jpg,4,Canvastote,4.0,28.73,114.92,Canvastote | 4 | $28.73 | $114.92,0.95
INV-0020,INV-0020-image_jpg,1,Archive folders,3.0,9.15,27.45,Archive folders | 3 | $9.15 | $27.45,0.95
INV-0020,INV-0020-image_jpg,2,Coffeebeans,3.0,43.62,130.86,Coffeebeans | 3 | $43.62 | $130.86,0.95
INV-0020,INV-0020-image_jpg,3,Gel pen set,3.0,18.76,56.28,Gel pen set | 3 | $18.76 | $56.28,0.95
INV-0021,INV-0021-image_jpg,1,USBadapter,3.0,39.53,118.59,USBadapter | 3 | $39.53 | $118.59,0.95
INV-0021,INV-0021-image_jpg,2,Granolacup,4.0,47.47,189.88,Granolacup | 4 | $47.47 | $189.88,0.95
INV-0021,INV-0021-image_jpg,3,Cleaning cloths,4.0,17.01,68.04,Cleaning cloths | 4 | $17.01 | $68.04,0.95
INV-0022,INV-0022-image_jpg,1,Archivefolders,2.0,36.02,72.04,Archivefolders | 2 | $36.02 | $72.04,0.95
INV-0022,INV-0022-image_jpg,2,Coffeebeans,3.0,19.47,58.41,Coffeebeans | 3 | $19.47 | $58.41,0.95
INV-0023,INV-0023-image_jpg,1,Coffee beans,4.0,37.3,149.2,Coffee beans | 4 | $37.30 | $149.20,0.95
INV-0023,INV-0023-image_jpg,2,Canvas tote,4.0,39.8,159.2,Canvas tote | 4 | $39.80 | $159.20,0.95
INV-0023,INV-0023-image_jpg,3,Granola cup,4.0,56.37,225.48,Granola cup | 4 | $56.37 | $225.48,0.95
INV-0023,INV-0023-image_jpg,4,Gel pen set,1.0,33.33,33.33,Gel pen set | 1 | $33.33 | $33.33,0.95
INV-0023,INV-0023-image_jpg,5,Recycled notebooks,3.0,12.98,38.94,Recycled notebooks | 3 | $12.98 | $38.94,0.95
INV-0024,INV-0024-image_jpg,1,Cable clips,4.0,7.65,30.6,Cable clips | 4 | $7.65 | $30.60,0.95
INV-0024,INV-0024-image_jpg,2,Cleaning cloths,3.0,24.66,73.98,Cleaning cloths | 3 | $24.66 | $73.98,0.95
INV-0026,INV-0026-image_jpg,1,Desk organizer,4.0,55.86,223.44,Desk organizer | 4 | $55.86 | $223.44,0.95
INV-0026,INV-0026-image_jpg,2,Archivefolders,2.0,23.66,47.32,Archivefolders | 2 | $23.66 | $47.32,0.95
INV-0028,INV-0028-image_jpg,1,Archive folders,2.0,29.5,59.0,Archive folders | 2 | $29.50 | $59.00,0.95
INV-0028,INV-0028-image_jpg,2,Coffee beans,1.0,7.23,7.23,Coffee beans | 1 | $7.23 | $7.23,0.95
INV-0029,INV-0029-image_jpg,1,Granola cup,2.0,30.27,60.54,Granola cup | 2 | $30.27 | $60.54,0.95
INV-0030,INV-0030-image_jpg,1,USB adapter,3.0,36.39,109.17,USB adapter | 3 | $36.39 | $109.17,0.95
INV-0030,INV-0030-image_jpg,2,Canvas tote,2.0,10.7,21.4,Canvas tote | 2 | $10.70 | $21.40,0.95
INV-0030,INV-0030-image_jpg,3,Desk organizer,2.0,33.76,67.52,Desk organizer | 2 | $33.76 | $67.52,0.95
INV-0030,INV-0030-image_jpg,4,Herbal tea,2.0,25.17,50.34,Herbal tea | 2 | $25.17 | $50.34,0.95
INV-0032,INV-0032-image_jpg,1,Recycled notebooks,2.0,24.58,49.16,Recycled notebooks | 2 | $24.58 | $49.16,0.95
INV-0032,INV-0032-image_jpg,2,Gel pen set,3.0,19.37,58.11,Gel pen set | 3 | $19.37 | $58.11,0.95
INV-0032,INV-0032-image_jpg,3,USBadapter,2.0,24.99,49.98,USBadapter | 2 | $24.99 | $49.98,0.95
INV-0033,INV-0033-image_jpg,1,USBadapter,3.0,49.55,148.65,USBadapter | 3 | $49.55 | $148.65,0.95
INV-0034,INV-0034-image_jpg,1,Archive folders,1.0,35.16,35.16,Archive folders | 1 | $35.16 | $35.16,0.95
INV-0034,INV-0034-image_jpg,2,Cleaning cloths,1.0,29.14,29.14,Cleaning cloths | 1 | $29.14 | $29.14,0.95
INV-0034,INV-0034-image_jpg,3,USBadapter,4.0,50.89,203.56,USBadapter | 4 | $50.89 | $203.56,0.95
INV-0034,INV-0034-image_jpg,4,Coffeebeans,4.0,23.04,92.16,Coffeebeans | 4 | $23.04 | $92.16,0.95
INV-0035,INV-0035-image_jpg,1,Cable clips,4.0,6.49,25.96,Cable clips | 4 | $6.49 | $25.96,0.95
INV-0035,INV-0035-image_jpg,2,Cleaning cloths,3.0,47.55,142.65,Cleaning cloths | 3 | $47.55 | $142.65,0.95
INV-0036,INV-0036-image_jpg,1,Cable clips,2.0,18.3,36.6,Cable clips | 2 | $18.30 | $36.60,0.95
INV-0036,INV-0036-image_jpg,2,Desk organizer,3.0,11.86,35.58,Desk organizer | 3 | $11.86 | $35.58,0.95
INV-0036,INV-0036-image_jpg,3,Granola cup,3.0,53.94,161.82,Granola cup | 3 | $53.94 | $161.82,0.95
INV-0036,INV-0036-image_jpg,4,Gelpenset,3.0,42.75,128.25,Gelpenset | 3 | $42.75 | $128.25,0.95
INV-0039,INV-0039-image_jpg,1,Coffeebeans,1.0,22.83,22.83,Coffeebeans | 1 | $22.83 | $22.83,0.95
INV-0039,INV-0039-image_jpg,2,Cable clips,1.0,19.13,19.13,Cable clips | 1 | $19.13 | $19.13,0.95
INV-0039,INV-0039-image_jpg,3,Granola cup,2.0,22.18,44.36,Granola cup | 2 | $22.18 | $44.36,0.95
INV-0039,INV-0039-image_jpg,4,Canvas tote,3.0,38.95,116.85,Canvas tote | 3 | $38.95 | $116.85,0.95
INV-0001,INV-0001-digital_pdf,1,Herbal tea,2.0,34.94,69.88,Herbal | tea | 2 | $34.94 | $69.88,0.95
INV-0001,INV-0001-digital_pdf,2,Cleaning cloths,4.0,43.73,174.92,Cleaning | cloths | 4 | $43.73 | $174.92,0.95
INV-0001,INV-0001-digital_pdf,3,Recycled notebooks,4.0,35.24,140.96,Recycled | notebooks | 4 | $35.24 | $140.96,0.95
INV-0003,INV-0003-digital_pdf,1,Canvas tote,1.0,53.52,53.52,Canvas | tote | 1 | $53.52 | $53.52,0.95
INV-0003,INV-0003-digital_pdf,2,USB adapter,4.0,38.06,152.24,USB | adapter | 4 | $38.06 | $152.24,0.95
INV-0003,INV-0003-digital_pdf,3,Coffee beans,3.0,56.38,169.14,Coffee | beans | 3 | $56.38 | $169.14,0.95
INV-0003,INV-0003-digital_pdf,4,Desk organizer,3.0,54.61,163.83,Desk | organizer | 3 | $54.61 | $163.83,0.95
INV-0003,INV-0003-digital_pdf,5,Gel pen set,4.0,47.1,188.4,Gel | pen | set | 4 | $47.10 | $188.40,0.95
INV-0005,INV-0005-digital_pdf,1,USB adapter,2.0,49.22,98.44,USB | adapter | 2 | $49.22 | $98.44,0.95
INV-0005,INV-0005-digital_pdf,2,Archive folders,2.0,27.92,55.84,Archive | folders | 2 | $27.92 | $55.84,0.95
INV-0005,INV-0005-digital_pdf,3,Canvas tote,4.0,7.55,30.2,Canvas | tote | 4 | $7.55 | $30.20,0.95
INV-0006,INV-0006-digital_pdf,1,Archive folders,4.0,23.0,92.0,Archive | folders | 4 | $23.00 | $92.00,0.95
INV-0007,INV-0007-digital_pdf,1,Gel pen set,2.0,32.11,64.22,Gel | pen | set | 2 | $32.11 | $64.22,0.95
INV-0007,INV-0007-digital_pdf,2,Desk organizer,1.0,23.8,23.8,Desk | organizer | 1 | $23.80 | $23.80,0.95
INV-0009,INV-0009-digital_pdf,1,USB adapter,1.0,2.91,2.91,USB | adapter | 1 | $2.91 | $2.91,0.95
INV-0010,INV-0010-digital_pdf,1,Cable clips,1.0,13.54,13.54,Cable | clips | 1 | $13.54 | $13.54,0.95
INV-0010,INV-0010-digital_pdf,2,Herbal tea,4.0,45.48,181.92,Herbal | tea | 4 | $45.48 | $181.92,0.95
INV-0010,INV-0010-digital_pdf,3,USB adapter,4.0,31.94,127.76,USB | adapter | 4 | $31.94 | $127.76,0.95
INV-0010,INV-0010-digital_pdf,4,Recycled notebooks,3.0,33.03,99.09,Recycled | notebooks | 3 | $33.03 | $99.09,0.95
INV-0010,INV-0010-digital_pdf,5,Granola cup,4.0,29.62,118.48,Granola | cup | 4 | $29.62 | $118.48,0.95
INV-0012,INV-0012-digital_pdf,1,Cleaning cloths,3.0,34.06,102.18,Cleaning | cloths | 3 | $34.06 | $102.18,0.95
INV-0012,INV-0012-digital_pdf,2,Archive folders,3.0,57.97,173.91,Archive | folders | 3 | $57.97 | $173.91,0.95
INV-0014,INV-0014-digital_pdf,1,Herbal tea,3.0,4.09,12.27,Herbal | tea | 3 | $4.09 | $12.27,0.95
INV-0014,INV-0014-digital_pdf,2,USB adapter,3.0,29.18,87.54,USB | adapter | 3 | $29.18 | $87.54,0.95
INV-0014,INV-0014-digital_pdf,3,Gel pen set,3.0,47.11,141.33,Gel | pen | set | 3 | $47.11 | $141.33,0.95
INV-0014,INV-0014-digital_pdf,4,Granola cup,3.0,39.21,117.63,Granola | cup | 3 | $39.21 | $117.63,0.95
INV-0016,INV-0016-digital_pdf,1,Archive folders,1.0,57.72,57.72,Archive | folders | 1 | $57.72 | $57.72,0.95
INV-0016,INV-0016-digital_pdf,2,Canvas tote,4.0,26.17,104.68,Canvas | tote | 4 | $26.17 | $104.68,0.95
INV-0016,INV-0016-digital_pdf,3,Herbal tea,4.0,20.39,81.56,Herbal | tea | 4 | $20.39 | $81.56,0.95
INV-0016,INV-0016-digital_pdf,4,Cable clips,4.0,22.65,90.6,Cable | clips | 4 | $22.65 | $90.60,0.95
INV-0016,INV-0016-digital_pdf,5,Desk organizer,3.0,34.02,102.06,Desk | organizer | 3 | $34.02 | $102.06,0.95
INV-0017,INV-0017-digital_pdf,1,Granola cup,2.0,39.53,79.06,Granola | cup | 2 | $39.53 | $79.06,0.95
INV-0017,INV-0017-digital_pdf,2,Archive folders,1.0,43.23,43.23,Archive | folders | 1 | $43.23 | $43.23,0.95
INV-0018,INV-0018-digital_pdf,1,Desk organizer,3.0,17.29,51.87,Desk | organizer | 3 | $17.29 | $51.87,0.95
INV-0018,INV-0018-digital_pdf,2,Archive folders,1.0,16.3,16.3,Archive | folders | 1 | $16.30 | $16.30,0.95
INV-0019,INV-0019-digital_pdf,1,Granola cup,3.0,9.57,28.71,Granola | cup | 3 | $9.57 | $28.71,0.95
INV-0019,INV-0019-digital_pdf,2,Herbal tea,4.0,55.52,222.08,Herbal | tea | 4 | $55.52 | $222.08,0.95
INV-0019,INV-0019-digital_pdf,3,Cable clips,2.0,21.91,43.82,Cable | clips | 2 | $21.91 | $43.82,0.95
INV-0019,INV-0019-digital_pdf,4,Canvas tote,4.0,28.73,114.92,Canvas | tote | 4 | $28.73 | $114.92,0.95
INV-0019,INV-0019-digital_pdf,5,Cleaning cloths,1.0,54.47,54.47,Cleaning | cloths | 1 | $54.47 | $54.47,0.95
INV-0020,INV-0020-digital_pdf,1,Archive folders,3.0,9.15,27.45,Archive | folders | 3 | $9.15 | $27.45,0.95
INV-0020,INV-0020-digital_pdf,2,Coffee beans,3.0,43.62,130.86,Coffee | beans | 3 | $43.62 | $130.86,0.95
INV-0020,INV-0020-digital_pdf,3,Gel pen set,3.0,18.76,56.28,Gel | pen | set | 3 | $18.76 | $56.28,0.95
INV-0021,INV-0021-digital_pdf,1,USB adapter,3.0,39.53,118.59,USB | adapter | 3 | $39.53 | $118.59,0.95
INV-0021,INV-0021-digital_pdf,2,Granola cup,4.0,47.47,189.88,Granola | cup | 4 | $47.47 | $189.88,0.95
INV-0021,INV-0021-digital_pdf,3,Cleaning cloths,4.0,17.01,68.04,Cleaning | cloths | 4 | $17.01 | $68.04,0.95
INV-0021,INV-0021-digital_pdf,4,Coffee beans,4.0,36.08,144.32,Coffee | beans | 4 | $36.08 | $144.32,0.95
INV-0022,INV-0022-digital_pdf,1,Archive folders,2.0,36.02,72.04,Archive | folders | 2 | $36.02 | $72.04,0.95
INV-0022,INV-0022-digital_pdf,2,Coffee beans,3.0,19.47,58.41,Coffee | beans | 3 | $19.47 | $58.41,0.95
INV-0022,INV-0022-digital_pdf,3,Recycled notebooks,1.0,21.26,21.26,Recycled | notebooks | 1 | $21.26 | $21.26,0.95
INV-0023,INV-0023-digital_pdf,1,Coffee beans,4.0,37.3,149.2,Coffee | beans | 4 | $37.30 | $149.20,0.95
INV-0023,INV-0023-digital_pdf,2,Canvas tote,4.0,39.8,159.2,Canvas | tote | 4 | $39.80 | $159.20,0.95
INV-0023,INV-0023-digital_pdf,3,Granola cup,4.0,56.37,225.48,Granola | cup | 4 | $56.37 | $225.48,0.95
INV-0023,INV-0023-digital_pdf,4,Gel pen set,1.0,33.33,33.33,Gel | pen | set | 1 | $33.33 | $33.33,0.95
INV-0023,INV-0023-digital_pdf,5,Recycled notebooks,3.0,12.98,38.94,Recycled | notebooks | 3 | $12.98 | $38.94,0.95
INV-0024,INV-0024-digital_pdf,1,Cable clips,2.0,55.78,111.56,Cable | clips | 2 | $55.78 | $111.56,0.95
INV-0024,INV-0024-digital_pdf,2,Cleaning cloths,4.0,7.65,30.6,Cleaning | cloths | 4 | $7.65 | $30.60,0.95
INV-0024,INV-0024-digital_pdf,3,Granola cup,3.0,24.66,73.98,Granola | cup | 3 | $24.66 | $73.98,0.95
INV-0026,INV-0026-digital_pdf,1,Desk organizer,4.0,55.86,223.44,Desk | organizer | 4 | $55.86 | $223.44,0.95
INV-0026,INV-0026-digital_pdf,2,Archive folders,2.0,23.66,47.32,Archive | folders | 2 | $23.66 | $47.32,0.95
INV-0028,INV-0028-digital_pdf,1,Archive folders,2.0,29.5,59.0,Archive | folders | 2 | $29.50 | $59.00,0.95
INV-0028,INV-0028-digital_pdf,2,Coffee beans,1.0,7.23,7.23,Coffee | beans | 1 | $7.23 | $7.23,0.95
INV-0029,INV-0029-digital_pdf,1,Granola cup,2.0,30.27,60.54,Granola | cup | 2 | $30.27 | $60.54,0.95
INV-0030,INV-0030-digital_pdf,1,USB adapter,3.0,36.39,109.17,USB | adapter | 3 | $36.39 | $109.17,0.95
INV-0030,INV-0030-digital_pdf,2,Canvas tote,2.0,10.7,21.4,Canvas | tote | 2 | $10.70 | $21.40,0.95
INV-0030,INV-0030-digital_pdf,3,Desk organizer,2.0,33.76,67.52,Desk | organizer | 2 | $33.76 | $67.52,0.95
INV-0030,INV-0030-digital_pdf,4,Herbal tea,2.0,25.17,50.34,Herbal | tea | 2 | $25.17 | $50.34,0.95
INV-0032,INV-0032-digital_pdf,1,Recycled notebooks,2.0,24.58,49.16,Recycled | notebooks | 2 | $24.58 | $49.16,0.95
INV-0032,INV-0032-digital_pdf,2,Gel pen set,3.0,19.37,58.11,Gel | pen | set | 3 | $19.37 | $58.11,0.95
INV-0032,INV-0032-digital_pdf,3,USB adapter,2.0,24.99,49.98,USB | adapter | 2 | $24.99 | $49.98,0.95
INV-0033,INV-0033-digital_pdf,1,USB adapter,3.0,49.55,148.65,USB | adapter | 3 | $49.55 | $148.65,0.95
INV-0034,INV-0034-digital_pdf,1,Archive folders,1.0,35.16,35.16,Archive | folders | 1 | $35.16 | $35.16,0.95
INV-0034,INV-0034-digital_pdf,2,Cleaning cloths,1.0,29.14,29.14,Cleaning | cloths | 1 | $29.14 | $29.14,0.95
INV-0034,INV-0034-digital_pdf,3,USB adapter,4.0,50.89,203.56,USB | adapter | 4 | $50.89 | $203.56,0.95
INV-0034,INV-0034-digital_pdf,4,Coffee beans,4.0,23.04,92.16,Coffee | beans | 4 | $23.04 | $92.16,0.95
INV-0035,INV-0035-digital_pdf,1,Cable clips,4.0,6.49,25.96,Cable | clips | 4 | $6.49 | $25.96,0.95
INV-0035,INV-0035-digital_pdf,2,Cleaning cloths,3.0,47.55,142.65,Cleaning | cloths | 3 | $47.55 | $142.65,0.95
INV-0035,INV-0035-digital_pdf,3,Canvas tote,1.0,18.08,18.08,Canvas | tote | 1 | $18.08 | $18.08,0.95
INV-0036,INV-0036-digital_pdf,1,Cable clips,2.0,18.3,36.6,Cable | clips | 2 | $18.30 | $36.60,0.95
INV-0036,INV-0036-digital_pdf,2,Desk organizer,3.0,11.86,35.58,Desk | organizer | 3 | $11.86 | $35.58,0.95
INV-0036,INV-0036-digital_pdf,3,Granola cup,3.0,53.94,161.82,Granola | cup | 3 | $53.94 | $161.82,0.95
INV-0036,INV-0036-digital_pdf,4,Gel pen set,3.0,42.75,128.25,Gel | pen | set | 3 | $42.75 | $128.25,0.95
INV-0039,INV-0039-digital_pdf,1,Coffee beans,1.0,22.83,22.83,Coffee | beans | 1 | $22.83 | $22.83,0.95
INV-0039,INV-0039-digital_pdf,2,Cable clips,1.0,19.13,19.13,Cable | clips | 1 | $19.13 | $19.13,0.95
INV-0039,INV-0039-digital_pdf,3,Granola cup,2.0,22.18,44.36,Granola | cup | 2 | $22.18 | $44.36,0.95
INV-0039,INV-0039-digital_pdf,4,Canvas tote,3.0,38.95,116.85,Canvas | tote | 3 | $38.95 | $116.85,0.95
INV-0001,INV-0001-image_png,1,Herbal tea,4.0,43.73,174.92,Herbal tea | 4 | $43.73 | $174.92,0.95
INV-0003,INV-0003-image_png,1,USB adapter,4.0,38.06,152.24,USB adapter | 4 | $38.06 | $152.24,0.95
INV-0003,INV-0003-image_png,2,Coffee beans,3.0,56.38,169.14,Coffee beans | 3 | $56.38 | $169.14,0.95
INV-0003,INV-0003-image_png,3,Desk organizer,3.0,54.61,163.83,Desk organizer | 3 | $54.61 | $163.83,0.95
INV-0003,INV-0003-image_png,4,Gel pen set,4.0,47.1,188.4,Gel pen set | 4 | $47.10 | $188.40,0.95
INV-0005,INV-0005-image_png,1,USBadapter,2.0,49.22,98.44,USBadapter | 2 | $49.22 | $98.44,0.95
INV-0005,INV-0005-image_png,2,Archivefolders,2.0,27.92,55.84,Archivefolders | 2 | $27.92 | $55.84,0.95
INV-0005,INV-0005-image_png,3,Canvastote,4.0,7.55,30.2,Canvastote | 4 | $7.55 | $30.20,0.95
INV-0006,INV-0006-image_png,1,Archive folders,4.0,23.0,92.0,Archive folders | 4 | $23.00 | $92.00,0.95
INV-0007,INV-0007-image_png,1,Gel pen set,2.0,32.11,64.22,Gel pen set | 2 | $32.11 | $64.22,0.95
INV-0007,INV-0007-image_png,2,Desk organizer,1.0,23.8,23.8,Desk organizer | 1 | $23.80 | $23.80,0.95
INV-0009,INV-0009-image_png,1,USB adapter,1.0,2.91,2.91,USB adapter | 1 | $2.91 | $2.91,0.95
INV-0010,INV-0010-image_png,1,Herbal tea,4.0,45.48,181.92,Herbal tea | 4 | $45.48 | $181.92,0.95
INV-0010,INV-0010-image_png,2,USB adapter,4.0,31.94,127.76,USB adapter | 4 | $31.94 | $127.76,0.95
INV-0010,INV-0010-image_png,3,Recycled notebooks,3.0,33.03,99.09,Recycled notebooks | 3 | $33.03 | $99.09,0.95
INV-0010,INV-0010-image_png,4,Granola cup,4.0,29.62,118.48,Granola cup | 4 | $29.62 | $118.48,0.95
INV-0012,INV-0012-image_png,1,Archivefolders,3.0,57.97,173.91,Archivefolders | 3 | $57.97 | $173.91,0.95
INV-0014,INV-0014-image_png,1,Herbal tea,3.0,4.09,12.27,Herbal tea | 3 | $4.09 | $12.27,0.95
INV-0014,INV-0014-image_png,2,Gel pen set,3.0,47.11,141.33,Gel pen set | 3 | $47.11 | $141.33,0.95
INV-0014,INV-0014-image_png,3,Granola cup,3.0,39.21,117.63,Granola cup | 3 | $39.21 | $117.63,0.95
INV-0016,INV-0016-image_png,1,Archive folders,1.0,57.72,57.72,Archive folders | 1 | $57.72 | $57.72,0.95
INV-0016,INV-0016-image_png,2,Canvastote,4.0,26.17,104.68,Canvastote | 4 | $26.17 | $104.68,0.95
INV-0016,INV-0016-image_png,3,Herbal tea,4.0,20.39,81.56,Herbal tea | 4 | $20.39 | $81.56,0.95
INV-0016,INV-0016-image_png,4,Cable clips,4.0,22.65,90.6,Cable clips | 4 | $22.65 | $90.60,0.95
INV-0016,INV-0016-image_png,5,Desk organizer,3.0,34.02,102.06,Desk organizer | 3 | $34.02 | $102.06,0.95
INV-0017,INV-0017-image_png,1,Granola cup,2.0,39.53,79.06,Granola cup | 2 | $39.53 | $79.06,0.95
INV-0018,INV-0018-image_png,1,Desk organizer,3.0,17.29,51.87,Desk organizer | 3 | $17.29 | $51.87,0.95
INV-0018,INV-0018-image_png,2,Archivefolders,1.0,16.3,16.3,Archivefolders | 1 | $16.30 | $16.30,0.95
INV-0019,INV-0019-image_png,1,Herbal tea,4.0,55.52,222.08,Herbal tea | 4 | $55.52 | $222.08,0.95
INV-0019,INV-0019-image_png,2,Cable clips,2.0,21.91,43.82,Cable clips | 2 | $21.91 | $43.82,0.95
INV-0019,INV-0019-image_png,3,Canvastote,4.0,28.73,114.92,Canvastote | 4 | $28.73 | $114.92,0.95
INV-0020,INV-0020-image_png,1,Archive folders,3.0,9.15,27.45,Archive folders | 3 | $9.15 | $27.45,0.95
INV-0020,INV-0020-image_png,2,Coffeebeans,3.0,43.62,130.86,Coffeebeans | 3 | $43.62 | $130.86,0.95
INV-0020,INV-0020-image_png,3,Gel pen set,3.0,18.76,56.28,Gel pen set | 3 | $18.76 | $56.28,0.95
INV-0021,INV-0021-image_png,1,USB adapter,3.0,39.53,118.59,USB adapter | 3 | $39.53 | $118.59,0.95
INV-0021,INV-0021-image_png,2,Granola cup,4.0,47.47,189.88,Granola cup | 4 | $47.47 | $189.88,0.95
INV-0021,INV-0021-image_png,3,Cleaning cloths,4.0,17.01,68.04,Cleaning cloths | 4 | $17.01 | $68.04,0.95
INV-0021,INV-0021-image_png,4,Coffee beans,4.0,36.08,144.32,Coffee beans | 4 | $36.08 | $144.32,0.95
INV-0022,INV-0022-image_png,1,Archive folders,3.0,19.47,58.41,Archive folders | 3 | $19.47 | $58.41,0.95
INV-0023,INV-0023-image_png,1,Coffeebeans,4.0,37.3,149.2,Coffeebeans | 4 | $37.30 | $149.20,0.95
INV-0023,INV-0023-image_png,2,Canvastote,4.0,39.8,159.2,Canvastote | 4 | $39.80 | $159.20,0.95
INV-0023,INV-0023-image_png,3,Granola cup,4.0,56.37,225.48,Granola cup | 4 | $56.37 | $225.48,0.95
INV-0023,INV-0023-image_png,4,Gel pen set,1.0,33.33,33.33,Gel pen set | 1 | $33.33 | $33.33,0.95
INV-0023,INV-0023-image_png,5,Recycled notebooks,3.0,12.98,38.94,Recycled notebooks | 3 | $12.98 | $38.94,0.95
INV-0024,INV-0024-image_png,1,Cable clips,2.0,55.78,111.56,Cable clips | 2 | $55.78 | $111.56,0.95
INV-0024,INV-0024-image_png,2,Cleaning cloths,4.0,7.65,30.6,Cleaning cloths | 4 | $7.65 | $30.60,0.95
INV-0024,INV-0024-image_png,3,Granola cup,3.0,24.66,73.98,Granola cup | 3 | $24.66 | $73.98,0.95
INV-0026,INV-0026-image_png,1,Deskorganizer,4.0,55.86,223.44,Deskorganizer | 4 | $55.86 | $223.44,0.95
INV-0026,INV-0026-image_png,2,Archivefolders,2.0,23.66,47.32,Archivefolders | 2 | $23.66 | $47.32,0.95
INV-0028,INV-0028-image_png,1,Archive folders,2.0,29.5,59.0,Archive folders | 2 | $29.50 | $59.00,0.95
INV-0028,INV-0028-image_png,2,Coffee beans,1.0,7.23,7.23,Coffee beans | 1 | $7.23 | $7.23,0.95
INV-0029,INV-0029-image_png,1,Granola cup,2.0,31.0,62.0,Granola cup | 2 | $31.00 | $62.00,0.95
