document_id,item_order,description,quantity,unit_price,line_total
RCT-0012,3,Canvas tote,4,4.02,16.08
RCT-0013,1,Gel pen set,1,10.47,10.47
RCT-0013,2,Desk organizer,2,11.49,22.98
RCT-0013,3,Recycled notebooks,1,12.72,12.72
RCT-0013,4,Canvas tote,1,13.11,13.11
RCT-0014,1,Desk organizer,3,8.96,26.88
RCT-0014,2,Shipping labels,1,17.61,17.61
RCT-0014,3,Archive folders,1,2.7,2.7
RCT-0014,4,Granola cup,1,11.72,11.72
RCT-0014,5,Herbal tea,4,16.0,64.0
RCT-0015,1,Canvas tote,3,3.47,10.41
RCT-0015,2,Desk organizer,1,10.03,10.03
RCT-0015,3,Granola cup,1,16.38,16.38
RCT-0015,4,Herbal tea,1,16.9,16.9
RCT-0016,1,Shipping labels,1,11.77,11.77
RCT-0016,2,Recycled notebooks,4,13.76,55.04
RCT-0016,3,Coffee beans,4,11.22,44.88
RCT-0016,4,Cable clips,4,8.91,35.64
RCT-0016,5,Cleaning cloths,1,13.27,13.27
RCT-0017,1,Desk organizer,2,11.16,22.32
RCT-0017,2,USB adapter,1,3.18,3.18
RCT-0017,3,Cleaning cloths,4,8.72,34.88
RCT-0017,4,Gel pen set,4,6.71,26.84
RCT-0018,1,Cable clips,1,4.37,4.37
RCT-0018,2,Recycled notebooks,2,12.24,24.48
RCT-0018,3,Canvas tote,4,8.25,33.0
RCT-0018,4,Cleaning cloths,1,14.56,14.56
RCT-0018,5,Gel pen set,4,3.25,13.0
RCT-0019,1,Desk organizer,4,16.49,65.96
RCT-0019,2,Cable clips,2,6.13,12.26
RCT-0019,3,Granola cup,4,8.34,33.36
RCT-0020,1,Desk organizer,1,9.2,9.2
RCT-0020,2,Shipping labels,1,14.76,14.76
RCT-0020,3,Canvas tote,1,12.59,12.59
RCT-0021,1,Desk organizer,1,11.48,11.48
RCT-0021,2,Recycled notebooks,3,9.73,29.19
RCT-0022,1,Coffee beans,4,14.0,56.0
RCT-0022,2,Gel pen set,3,15.5,46.5
RCT-0022,3,Desk organizer,3,3.59,10.77
RCT-0022,4,Canvas tote,2,8.54,17.08
RCT-0023,1,Cable clips,3,14.29,42.87
RCT-0023,2,Canvas tote,2,16.85,33.7
RCT-0023,3,Gel pen set,4,9.11,36.44
RCT-0023,4,Cleaning cloths,1,8.93,8.93
RCT-0023,5,Coffee beans,3,13.85,41.55
RCT-0024,1,Coffee beans,3,4.4,13.2
RCT-0024,2,Desk organizer,1,9.29,9.29
RCT-0024,3,Cleaning cloths,1,15.26,15.26
RCT-0024,4,Gel pen set,4,16.13,64.52
RCT-0025,1,Archive folders,1,15.68,15.68
RCT-0025,2,Granola cup,3,7.13,21.39
RCT-0025,3,Coffee beans,2,10.86,21.72
RCT-0025,4,Cleaning cloths,2,11.33,22.66
RCT-0025,5,Shipping labels,4,8.16,32.64
RCT-0026,1,Herbal tea,4,5.42,21.68
RCT-0026,2,Cable clips,2,13.1,26.2
RCT-0027,1,USB adapter,3,11.73,35.19
RCT-0027,2,Desk organizer,1,15.15,15.15
RCT-0027,3,Recycled notebooks,4,3.95,15.8
RCT-0027,4,Archive folders,3,8.52,25.56
RCT-0027,5,Coffee beans,1,10.85,10.85
RCT-0028,1,Coffee beans,2,9.08,18.16
RCT-0028,2,Desk organizer,4,14.91,59.64
RCT-0028,3,Cable clips,3,9.85,29.55
RCT-0028,4,Herbal tea,2,8.96,17.92
RCT-0028,5,Recycled notebooks,3,17.77,53.31
RCT-0029,1,Desk organizer,2,2.6,5.2
RCT-0029,2,Cleaning cloths,1,8.95,8.95
RCT-0029,3,Gel pen set,4,12.7,50.8
RCT-0029,4,Cable clips,2,12.95,25.9
RCT-0030,1,Gel pen set,4,5.87,23.48
RCT-0030,2,Desk organizer,2,17.56,35.12
RCT-0030,3,Granola cup,1,10.45,10.45
RCT-0030,4,Coffee beans,2,4.98,9.96
